,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,updated_github_id,gem_url,new_addition,apt_id
106,universal-registrar,https://github.com/decentralized-identity/universal-registrar,dids,Universal Registrar implementation and drivers.,,,15,False,decentralized-identity/universal-registrar,,https://github.com/decentralized-identity/universal-registrar,Apache-2.0,2017-09-29 13:01:11,2023-11-08 01:17:49.000000,2023-11-03 12:40:19,395.0,20.0,24.0,29.0,54.0,13.0,9.0,65.0,2021-10-08 12:33:05,0.2.0,2.0,,,11.0,,,,3.0,,,,,,,,,,,,,,,,,True,
107,anoncreds,https://github.com/hyperledger/anoncreds-spec,credentials,The specification for AnonCreds verifiable credential exchange.,,['hyperledger'],15,False,hyperledger/anoncreds-spec,,https://github.com/hyperledger/anoncreds-spec,Apache-2.0,2022-02-19 17:05:57,2023-11-09 16:08:49.000000,2023-11-09 16:08:24,466.0,92.0,25.0,13.0,131.0,24.0,25.0,39.0,,,,,,24.0,,,,2.0,,,,,,,,,,,,,,,,,,
108,sphereon-openid4vci,https://github.com/Sphereon-Opensource/OID4VCI,protocols-sdks,OpenID for Verifiable Credential Issuance - client and issuer library.,,,15,False,sphereon-opensource/openid4vci,,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-11-03 22:20:01.000000,2023-11-03 22:19:34,619.0,55.0,10.0,6.0,64.0,2.0,8.0,38.0,2023-10-14 23:03:15,0.8.1,14.0,,,13.0,,,,1.0,,,,,,,,,,,,,,,Sphereon-Opensource/OID4VCI,,True,
109,sphereon-pex,https://github.com/Sphereon-Opensource/PEX,protocols-sdks,A Typescript implementation of the DIF Presentation Exchange specification.,,,15,False,sphereon-opensource/pex,,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-10-12 21:11:44.000000,2023-10-12 21:11:39,933.0,21.0,9.0,7.0,104.0,6.0,20.0,26.0,2023-09-28 01:02:52,2.1.2,26.0,16.0,16.0,15.0,,,2.0,1.0,,58.0,,,,,,,,,,,,,,,True,
110,verity-sdk,https://github.com/evernym/verity-sdk,ssi-sdks,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,,,14,False,evernym/verity-sdk,,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,,38.0,13.0,115.0,,,47.0,,,,14.0,14.0,36.0,,,,3.0,,,,,,,,,,,,,,,,,,
111,waltid-idpkit,https://github.com/walt-id/waltid-idpkit,ssi-infra,OIDC identity provider for SSI & NFTs.,,,14,False,walt-id/waltid-idpkit,,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-10-27 18:52:56.044331,2023-10-27 18:47:46,349.0,20.0,6.0,2.0,36.0,,36.0,20.0,2023-09-07 16:06:04,1.2309071555.0,28.0,,,9.0,,,35.0,3.0,waltid/idpkit,,https://hub.docker.com/r/waltid/idpkit,2023-10-27 18:52:56.044331,,708.0,,,,,,,,,,,,
112,appauth-js,https://github.com/openid/AppAuth-JS,authentication,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],13,False,openid/appauth-js,,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,,152.0,37.0,93.0,30.0,102.0,934.0,,,,,,10.0,,,,3.0,,,,,,,,,,,,,,,,,,
113,fedfm,https://github.com/fedidcg/FedCM,protocols,A privacy preserving identity exchange Web API.,,['w3c'],13,False,fedidcg/FedCM,,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-11-10 16:15:22.000000,2023-10-24 15:10:21,669.0,9.0,52.0,75.0,254.0,154.0,101.0,295.0,,,,,,31.0,,,,3.0,,,,,,,,,,,,,,,,,,
114,beyond,https://github.com/cogolabs/beyond,machine,BeyondCorp-inspired HTTPS/SSO Access Proxy. Secure internal services outside your VPN/perimeter network during a zero-..,,,13,False,cogolabs/beyond,,https://github.com/cogolabs/beyond,	Apache-2.0,2017-08-13 18:29:25,2022-05-26 15:15:14.000000,2022-05-25 16:48:25,133.0,,25.0,9.0,2.0,4.0,1.0,242.0,2022-05-26 15:15:14,1.8.10,4.0,,,5.0,,,234.0,3.0,cogolabs/beyond,,https://hub.docker.com/r/cogolabs/beyond,2021-03-16 02:43:33.655703,,17622.0,,,,,,,,,,,,
115,web-access-control,https://github.com/solid/web-access-control-spec,protocols,Web Access Control (WAC).,,['solid'],13,True,solid/web-access-control-spec,,https://github.com/solid/web-access-control-spec,MIT,2016-04-01 18:02:56,2023-11-07 09:43:57.000000,2023-11-07 09:43:41,453.0,7.0,22.0,32.0,39.0,28.0,44.0,116.0,,,,,,17.0,,,,3.0,,,,,,,,,,,,,,,,,True,
116,sphereon-siop-oid4vp,https://github.com/Sphereon-Opensource/SIOP-OID4VP,protocols-sdks,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,,,13,False,sphereon-opensource/siop-oid4vp,,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-11-08 13:52:53.000000,2023-10-01 02:04:32,596.0,16.0,19.0,8.0,46.0,5.0,12.0,66.0,,,13.0,42.0,42.0,11.0,,,0.0,3.0,,24.0,,,,,,,,,,,,,,,True,
117,bbs-signature,https://github.com/decentralized-identity/bbs-signature,credentials,The BBS Signature Scheme.,,['dif'],12,False,decentralized-identity/bbs-signature,,https://github.com/decentralized-identity/bbs-signature,Apache-2.0,2021-08-23 11:09:09,2023-11-09 11:19:26.000000,2023-10-23 20:42:55,790.0,23.0,19.0,14.0,163.0,14.0,118.0,59.0,,,,,,15.0,,,,3.0,,,,,,,,,,,,,,,,,,
118,did-key.rs,https://github.com/decentralized-identity/did-key.rs,dids,Rust implementation of the did:key method.,,['dif'],12,False,decentralized-identity/did-key.rs,,https://github.com/decentralized-identity/did-key.rs,Apache-2.0,2021-01-18 13:26:31,2023-02-10 20:11:47.000000,2023-02-10 20:11:40,37.0,,21.0,14.0,27.0,7.0,8.0,45.0,,,,55.0,55.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,True,
119,selective-disclosure-jwt,https://github.com/oauth-wg/oauth-selective-disclosure-jwt,credentials,,,,11,False,oauth-wg/oauth-selective-disclosure-jwt,,https://github.com/oauth-wg/oauth-selective-disclosure-jwt,,2022-05-09 14:15:35,2023-11-09 00:52:43.000000,2023-10-23 16:08:10,694.0,17.0,18.0,10.0,182.0,18.0,170.0,40.0,2023-10-23 16:16:05,draft-ietf-oauth-selective-disclosure-jwt-06,1.0,,,17.0,,,,3.0,,,,,,,,,,,,,11.0,,,,,
120,sphereon-ssi-mobile-wallet,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,ssi-agents,Open-Source Mobile SSI Wallet.,,,11,False,sphereon-opensource/ssi-mobile-wallet,,https://github.com/Sphereon-Opensource/ssi-mobile-wallet,GPL-3.0,2022-11-08 00:55:26,2023-11-11 13:20:13.000000,2023-10-26 10:56:49,853.0,46.0,6.0,6.0,156.0,7.0,8.0,35.0,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,True,
121,keri,https://github.com/WebOfTrust/keri,protocols,KERI Community Development Efforts Meetings Discussion.,,['weboftrust'],11,False,weboftrust/keri,,https://github.com/WebOfTrust/keri,Apache-2.0,2021-10-11 17:54:56,2023-09-26 14:37:07.000000,2023-09-26 14:37:03,244.0,13.0,11.0,10.0,22.0,1.0,3.0,33.0,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,True,
122,waltid-web-wallet,https://github.com/walt-id/waltid-web-wallet,ssi-agents,Custodian identity wallet white-label solution.,,,11,False,walt-id/waltid-web-wallet,,https://github.com/walt-id/waltid-web-wallet,,2023-07-27 19:04:55,2023-11-04 22:01:58.000000,2023-11-02 21:26:07,177.0,139.0,1.0,1.0,65.0,1.0,,,2023-11-02 21:32:38,1.2311022126.0,45.0,,,8.0,,,530.0,3.0,waltid/ssikit-web-wallet,,https://hub.docker.com/r/waltid/ssikit-web-wallet,2023-06-29 16:56:55.416195,,2123.0,,,,,,,,,,,,
123,kepler,https://github.com/spruceid/kepler,ssi-infra,Decentralized storage based on permissioned data overlays called orbits.,,,10,False,spruceid/kepler,,https://github.com/spruceid/kepler,Apache-2.0,2021-03-22 16:14:05,2023-10-20 13:00:41.000000,2023-07-27 11:22:21,202.0,,10.0,20.0,123.0,9.0,15.0,70.0,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,True,
124,universal-wallet-interop-spec,https://github.com/w3c-ccg/universal-wallet-interop-spec,protocols,A data model and abstract interfaces for digital wallets.,,['w3c'],10,False,w3c-ccg/universal-wallet-interop-spec,,https://github.com/w3c-ccg/universal-wallet-interop-spec,W3C,2020-08-25 01:43:15,2023-05-18 13:45:33.000000,2023-02-22 15:32:05,319.0,,12.0,43.0,47.0,42.0,24.0,53.0,,,,2.0,2.0,10.0,,,,3.0,,,,,,,,,,,,,,,,,,
125,credible,https://github.com/spruceid/wallet,ssi-agents,A reference credential wallet built on Flutter and DIDKit.,,,10,False,spruceid/wallet,,https://github.com/spruceid/wallet,Apache-2.0,2020-07-23 21:18:28,2023-10-18 10:45:25.000000,2023-10-02 22:37:32,194.0,1.0,17.0,19.0,73.0,10.0,24.0,38.0,,,,,,12.0,,,,3.0,,,,,,,,,,,,,,,,,,
126,entra-verifiedid-wallet-library-ios,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,ssi-sdks,A library to manage your Decentralized Identities and Verified IDs on iOS.,,,10,False,microsoft/entra-verifiedid-wallet-library-ios,,https://github.com/microsoft/entra-verifiedid-wallet-library-ios,MIT,2022-11-17 19:38:59,2023-11-06 21:37:50.000000,2023-10-06 14:24:02,60.0,5.0,3.0,10.0,57.0,2.0,1.0,13.0,2023-06-19 17:55:50,1.0.0,2.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,
127,ion-tools,https://github.com/decentralized-identity/ion-tools,dids,Tools and utilities to make working with the ION network and using ION DIDs easy peasy lemon squeezy.,,,9,False,decentralized-identity/ion-tools,,https://github.com/decentralized-identity/ion-tools,Apache-2.0,2021-03-22 20:30:11,2023-07-31 13:48:45.000000,2023-07-31 13:48:42,119.0,,33.0,16.0,23.0,18.0,14.0,137.0,,,,,,10.0,,,,3.0,,,,,,,,,,,,,,,,,True,
128,vlei,https://github.com/WebOfTrust/vLEI,credentials,Public Open Specifications for GLEIF vLEI (verifiable Legal Entity Identifiers).,,,9,False,weboftrust/vlei,,https://github.com/WebOfTrust/vLEI,Apache-2.0,2021-04-19 14:33:35,2023-08-03 17:26:55.000000,2023-05-18 17:06:05,84.0,,10.0,8.0,32.0,21.0,27.0,23.0,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,
129,entra-verifiedid-wallet-library-android,https://github.com/microsoft/entra-verifiedid-wallet-library-android,ssi-sdks,A library to manage your Decentralized Identities and Verified IDs on Android.,,,9,False,microsoft/entra-verifiedid-wallet-library-android,,https://github.com/microsoft/entra-verifiedid-wallet-library-android,MIT,2022-11-17 18:59:22,2023-10-24 00:04:12.000000,2023-10-06 18:01:30,61.0,4.0,1.0,10.0,59.0,1.0,1.0,15.0,2023-06-20 20:22:25,1.0.0,2.0,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,
130,cfssl,{},pki,CloudFlares PKI toolkit.,,,2,False,cloudfare/cfssl,,,,,2023-11-09 17:27:42.336362,,,,,,,,,22.0,,,,,,,,,,3.0,cfssl/cfssl,,https://hub.docker.com/r/cfssl/cfssl,2023-11-09 17:27:42.336362,22.0,4057300.0,,,,,,,,,,,,
131,vc-api,{},protocols,,,['w3c'],1,False,w3c-ccg/vs-api,,,W3C,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
132,decentralized-web-node,{},protocols,,,"['dif', 'web5']",0,False,decentralized-identity/decentralize-web-node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,didcomm-messaging,{},protocols,,,['dif'],0,False,decentralized-identity/didcomm-messagging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
